"表名","字段序号","字段名","标识","主键","类型","占用字节数","长度","小数位数","允许空","默认值","字段说明"
"Mng_Province","1","N_PROVID","","","int","4","10","0","","('0')",""
"","2","S_PROVNAME","","","varchar","30","30","0","","",""
"","3","S_TYPE","","","varchar","1","1","0","y","(NULL)",""
"","4","S_STATE","","","varchar","1","1","0","y","(NULL)",""
"Takeda_Biz_Comment","1","id","√","√","int","4","10","0","","",""
"","2","RelateId","","","int","4","10","0","y","","5aSW6ZSuIOWFs+iBlOS4u+mUrklE"
"","3","RelateGuid","","","uniqueidentifier","16","16","0","y","","5aSW6ZSuIOWFs+iBlOS4u+mUrkdVSUQ="
"","4","ActivityId","","","int","4","10","0","y","","6IqC54K5SUQ="
"","5","ActivityName","","","nvarchar","100","50","0","y","","6IqC54K55ZCN56ew"
"","6","OperatorAD","","","nvarchar","100","50","0","y","","5a6h5om55Lq6QUQ="
"","7","OperatorName","","","nvarchar","100","50","0","y","","5a6h5om55Lq65aeT5ZCN"
"","8","Dept","","","nvarchar","100","50","0","y","","5a6h5om55Lq66YOo6Zeo"
"","9","CommentContent","","","nvarchar","400","200","0","y","","5a6h5om55oSP6KeB"
"","10","AppTime","","","datetime","8","23","3","y","","5a6h5om55pe26Ze0"
"","11","ApprovalStaus","","","nvarchar","100","50","0","y","","5a6h5om554q25oCB"
"Takeda_Biz_Master","1","id","√","√","int","4","10","0","","","5Li76ZSuIOWUr+S4gA=="
"","2","Guid","","","uniqueidentifier","16","16","0","y","",""
"","3","StepGuid","","","uniqueidentifier","16","16","0","y","","5q+P5Liq5q2l6aqk5a+55bqU55qER1VJRA=="
"","4","Folio","","","nvarchar","100","50","0","y","",""
"","5","ProcInstID","","","int","4","10","0","y","","5rWB56iL5a6e5L6L5Y+3"
"","6","ApplicantName","","","nvarchar","100","50","0","y","","55Sz6K+35Lq6"
"","7","ApplicantAD","","","nvarchar","100","50","0","y","","55Sz6K+35Lq6QUTotKblj7c="
"","8","ApplicantDate","","","datetime","8","23","3","y","","55Sz6K+35pel5pyf"
"","9","ApplicantDept","","","nvarchar","100","50","0","y","","55Sz6K+35Lq66YOo6Zeo"
"","10","Position","","","nvarchar","100","50","0","y","","6IGM5L2N"
"","11","Phone","","","nvarchar","100","50","0","y","","55Sz6K+35Lq655S16K+d"
"","12","Email","","","nvarchar","100","50","0","y","","55Sz6K+35Lq66YKu566x"
"","13","JobNumber","","","nvarchar","100","50","0","y","","55Sz6K+35Lq65bel5Y+3"
"","14","Director","","","nvarchar","100","50","0","y","","5Li7566h"
"","15","ProductField","","","nvarchar","100","50","0","y","","5Lqn5ZOB6aKG5Z+f"
"","16","Status","","","bit","1","1","0","y","","54q25oCB"
"","17","IsFinished","","","bit","1","1","0","y","","5rWB56iL5piv5ZCm57uT5p2fIDAu5pyq57uT5p2fIDEu57uT5p2f"
"","18","FinishDate","","","datetime","8","23","3","y","","57uT5p2f5pe26Ze0"
"","19","StepName","","","nvarchar","100","50","0","y","","5q2l6aqk5ZCN56ew"
"","20","Remark","","","text","16","2147483647","0","y","","5aSH5rOo"
"","21","OperationDate","","","datetime","8","23","3","y","","5pON5L2c5pel5pyf"
"","22","EXT01","","","nvarchar","100","50","0","y","","5omp5bGV5a2X5q61MQ=="
"","23","EXT02","","","nvarchar","100","50","0","y","","5omp5bGV5a2X5q61Mg=="
"","24","EXT03","","","nvarchar","100","50","0","y","","5omp5bGV5a2X5q61Mw=="
"FixDepartment","1","id","√","√","int","4","10","0","","",""
"","2","ErrorDepartment","","","nvarchar","100","50","0","y","",""
"","3","RightCode","","","nvarchar","100","50","0","y","",""
"Takeda_Biz_MasterAttachment","1","Id","√","√","int","4","10","0","","","6Ieq5aKe5Li7SWQ="
"","2","FileGUID","","","nvarchar","100","50","0","y","",""
"","3","ProcGUID","","","nvarchar","100","50","0","y","",""
"","4","FileName","","","nvarchar","100","50","0","y","",""
"","5","FileTypeID","","","int","4","10","0","y","",""
"","6","ContentLength","","","float","8","53","0","y","",""
"","7","CurrentVersion","","","int","4","10","0","y","",""
"","8","Extension","","","nvarchar","1000","500","0","y","","5omp5bGV5ZCN"
"","9","OperatorAD","","","nvarchar","100","50","0","y","",""
"","10","PhysicalAddress","","","nvarchar","100","50","0","y","",""
"","11","ProjectCode","","","nvarchar","100","50","0","y","",""
"","12","LastUpdateTime","","","datetime","8","23","3","y","",""
"","13","RecordCreationTime","","","datetime","8","23","3","y","",""
"","14","RecordStatus","","","int","4","10","0","y","",""
"","15","URL","","","nvarchar","100","50","0","y","",""
"","16","SpeakerType","","","int","4","10","0","y","","5a+55bqU6K6y6ICF6ZmE5Lu2IDAu6K6y6ICF5Z+65pys5L+h5oGv5LiK5Lyg55qE6ZmE5Lu2IDEu6LSi5Yqh5LiK5Lyg55qE6ZmE5Lu2"
"Takeda_Mng_HospitalDepartment","1","id","√","√","int","4","10","0","","",""
"","2","HosptialDepartmentCode","","","nvarchar","100","50","0","y","",""
"","3","HosptialDepartmentName","","","nvarchar","100","50","0","y","",""
"","4","ParentID","","","int","4","10","0","y","",""
"","5","RecordStatus","","","int","4","10","0","y","",""
"","6","CreateDate","","","datetime","8","23","3","y","(getdate())",""
"Takeda_Biz_SpeakerInfo_History","1","id","","","int","4","10","0","","",""
"","2","Guid","","","uniqueidentifier","16","16","0","y","",""
"","3","StepGuid","","","uniqueidentifier","16","16","0","y","",""
"","4","SpeakerType","","","nvarchar","100","50","0","y","",""
"","5","NumberType","","","nvarchar","100","50","0","y","",""
"","6","SpeakerIDNumber","","","nvarchar","100","50","0","y","",""
"","7","SpeakerName","","","nvarchar","100","50","0","y","",""
"","8","MedicalName","","","nvarchar","100","50","0","y","",""
"","9","DepartmentName","","","nvarchar","100","50","0","y","",""
"","10","DepartmentCode","","","nvarchar","100","50","0","y","",""
"","11","ChildDepartmentName","","","nvarchar","100","50","0","y","",""
"","12","ChildDepartmentCode","","","nvarchar","100","50","0","y","",""
"","13","HospitalGrade","","","nvarchar","100","50","0","y","",""
"","14","Province","","","nvarchar","100","50","0","y","",""
"","15","City","","","nvarchar","100","50","0","y","",""
"","16","ProfessionalTitle","","","nvarchar","100","50","0","y","",""
"","17","AdministrativePost","","","nvarchar","100","50","0","y","",""
"","18","AssessmentLevel","","","nvarchar","100","50","0","y","",""
"","19","SAPNo","","","nvarchar","100","50","0","y","",""
"","20","CashieName","","","nvarchar","100","50","0","y","",""
"","21","Bank","","","nvarchar","100","50","0","y","",""
"","22","BankLineNo","","","nvarchar","100","50","0","y","",""
"","23","BankAccount","","","nvarchar","100","50","0","y","",""
"","24","Currency","","","nvarchar","100","50","0","y","",""
"","25","IsSeparatePayment","","","nvarchar","100","50","0","y","",""
"","26","IsForeignAccount","","","nvarchar","100","50","0","y","",""
"","27","SwiftCode","","","nvarchar","100","50","0","y","",""
"","28","Remarks","","","nvarchar","1000","500","0","y","",""
"","29","ThirdPartyOption","","","nvarchar","1000","500","0","y","",""
"","30","StepName","","","nvarchar","100","50","0","y","",""
"","31","Status","","","bit","1","1","0","y","",""
"","32","SpeakerStatus","","","int","4","10","0","y","",""
"","33","OperationDate","","","datetime","8","23","3","y","",""
"","34","IsChangeSpeaker","","","bit","1","1","0","y","",""
"","35","IsChangeFinance","","","bit","1","1","0","y","",""
"","36","LectureFee","","","float","8","53","0","y","",""
"","37","AnnualCap","","","float","8","53","0","y","",""
"","38","IsDomestic","","","bit","1","1","0","y","",""
"","39","HistoryStepGuid","","","nvarchar","100","50","0","y","",""
"","40","IsNewData","","","int","4","10","0","y","",""
"","41","AssociationOffice","","","nvarchar","100","50","0","y","",""
"","42","SpeakerNo","","","nvarchar","100","50","0","y","",""
"","43","IsReport","","","int","4","10","0","y","",""
"Takeda_Biz_SpeakerInfo","1","id","√","√","int","4","10","0","","","5Li76ZSuSUQ="
"","2","Guid","","","uniqueidentifier","16","16","0","y","","R1VJRCDllK/kuIA="
"","3","StepGuid","","","uniqueidentifier","16","16","0","y","","5q2l6aqk55qER1VJRA=="
"","4","SpeakerType","","","nvarchar","100","50","0","y","","55Sz6K+357G75Z6LOjEu5paw5aKe6K6y6ICFIDIu5L+u5pS56K6y6ICFIDMu5Ya757uT6K6y6ICFIDQu6Kej5Ya76K6y6ICF"
"","5","NumberType","","","nvarchar","100","50","0","y","",""
"","6","SpeakerIDNumber","","","nvarchar","100","50","0","y","","6K6y6ICF6Lqr5Lu96K+B5Y+3"
"","7","SpeakerName","","","nvarchar","100","50","0","y","","6K6y6ICF5aeT5ZCN"
"","8","MedicalName","","","nvarchar","100","50","0","y","","5Yy755aX5py65p6E5ZCN56ew"
"","9","DepartmentName","","","nvarchar","100","50","0","y","","56eR5a6k5ZCN56ew"
"","10","DepartmentCode","","","nvarchar","100","50","0","y","",""
"","11","ChildDepartmentName","","","nvarchar","100","50","0","y","",""
"","12","ChildDepartmentCode","","","nvarchar","100","50","0","y","",""
"","13","HospitalGrade","","","nvarchar","100","50","0","y","","5Yy76Zmi562J57qn"
"","14","Province","","","nvarchar","100","50","0","y","","55yB5Lu9"
"","15","City","","","nvarchar","100","50","0","y","","5Z+O5biC"
"","16","ProfessionalTitle","","","nvarchar","100","50","0","y","","5LiT5Lia6IGM56ew"
"","17","AdministrativePost","","","nvarchar","100","50","0","y","","6KGM5pS/6IGM5Yqh"
"","18","AssessmentLevel","","","nvarchar","100","50","0","y","","6K+E5Lyw562J57qn"
"","19","SAPNo","","","nvarchar","100","50","0","y","","U0FQ5Y+356CB"
"","20","CashieName","","","nvarchar","100","50","0","y","","5pS25qy+5Lq65ZCN56ew"
"","21","Bank","","","nvarchar","100","50","0","y","","6ZO26KGM5ZCN56ew"
"","22","BankLineNo","","","nvarchar","100","50","0","y","","6ZO26KGM6IGU6KGM5Y+3"
"","23","BankAccount","","","nvarchar","100","50","0","y","","6ZO26KGM5biQ5Y+3"
"","24","Currency","","","nvarchar","100","50","0","y","","5LuY5qy+5biB56eN"
"","25","IsSeparatePayment","","","nvarchar","100","50","0","y","","5piv5ZCm5YiG5byA5LuY5qy+IDAu5pivIDHlkKY="
"","26","IsForeignAccount","","","nvarchar","100","50","0","y","","5piv5ZCm5aSW5biB6LSm5oi3IDAu5pivIDHlkKY="
"","27","SwiftCode","","","nvarchar","100","50","0","y","","IFN3aWZ0Q29kZQ=="
"","28","Remarks","","","nvarchar","1000","500","0","y","","5aSH5rOo"
"","29","ThirdPartyOption","","","nvarchar","1000","500","0","y","","56ys5LiJ5pa55qC45p+l5oSP6KeB"
"","30","StepName","","","nvarchar","100","50","0","y","","5q2l6aqk5ZCN56ew"
"","31","Status","","","bit","1","1","0","y","","54q25oCBIDAs5L2/55SoIDEu5pyq5L2/55So"
"","32","SpeakerStatus","","","int","4","10","0","y","","MC7mlrDlop4xLuS/ruaUuTIu5Ya757uTMy7op6Plhrs="
"","33","OperationDate","","","datetime","8","23","3","y","","5pON5L2c5pel5pyf"
"","34","IsChangeSpeaker","","","bit","1","1","0","y","","5piv5ZCm5L+u5pS56K6y6ICF5L+h5oGv"
"","35","IsChangeFinance","","","bit","1","1","0","y","","5piv5ZCm5L+u5pS56LSi5Yqh5L+h5oGv"
"","36","LectureFee","","","float","8","53","0","y","","6K6y6K++6LS5"
"","37","AnnualCap","","","float","8","53","0","y","","5bm05bel6LWE5bi9"
"","38","IsDomestic","","","int","4","10","0","y","((0))","5piv5ZCm5piv5Zu95YaF6K6y6ICFIDAu5pivIDEu5ZCm"
"","39","HistoryStepGuid","","","nvarchar","100","50","0","y","","5L+u5pS544CB5Ya757uT44CB6Kej5Ya75pWw5o2u55qE5Y6G5Y+ySUQ="
"","40","IsNewData","","","int","4","10","0","y","((0))","5piv5ZCm5pyA5paw55qE5pWw5o2uIDAu5pivIDEu5ZCm"
"","41","AssociationOffice","","","nvarchar","100","50","0","y","","5Y2P5Lya5Lu76IGM"
"","42","SpeakerNo","","","nvarchar","100","50","0","y","","6K6y6ICF57yW5Y+3"
"","43","IsReport","","","int","4","10","0","y","((1))","5piv5ZCm5a+85YWl5pWw5o2uIDAu5pivIDEu5ZCm"
"Takeda_Mng_Product","1","id","√","√","int","4","10","0","","",""
"","2","ProductCode","","","nvarchar","100","50","0","y","","5Lqn5ZOBQ29kZQ=="
"","3","ProductName","","","nvarchar","100","50","0","y","","5Lqn5ZOB5ZCN56ew"
"","4","ProductDesc","","","nvarchar","100","50","0","y","","5Lqn5ZOB5o+P6L+w"
"Takeda_Mng_Control","1","id","√","√","int","4","10","0","","",""
"","2","ProcGuid","","","uniqueidentifier","16","16","0","y","",""
"","3","SpeakerIDNumber","","","nvarchar","100","50","0","y","",""
"","4","dropProductField","","","int","4","10","0","y","((0))",""
"","5","dropAssessmentLevel","","","int","4","10","0","y","((0))",""
"","6","txtMedicalName","","","int","4","10","0","y","((0))",""
"","7","txtDepartmentName","","","int","4","10","0","y","((0))",""
"","8","dropHospitalGrade","","","int","4","10","0","y","((0))",""
"","9","dropProvince","","","int","4","10","0","y","((0))",""
"","10","dropCity","","","int","4","10","0","y","((0))",""
"","11","txtProfessionalTitle","","","int","4","10","0","y","((0))",""
"","12","txtAdministrativePost","","","int","4","10","0","y","((0))",""
"","13","txtRemarks","","","int","4","10","0","y","((0))",""
"","14","txtCashieName","","","int","4","10","0","y","((0))",""
"","15","txtBank","","","int","4","10","0","y","((0))",""
"","16","txtBankLineNo","","","int","4","10","0","y","((0))",""
"","17","txtBankAccount","","","int","4","10","0","y","((0))",""
"","18","txtCurrency","","","int","4","10","0","y","((0))",""
"","19","dropIsSeparatePayment","","","int","4","10","0","y","((0))",""
"","20","dropIsForeignAccount","","","int","4","10","0","y","((0))",""
"","21","txtSwiftCode","","","int","4","10","0","y","((0))",""
"","22","txtSAPNo","","","int","4","10","0","y","((0))",""
"","23","txtAssociationOffice","","","int","4","10","0","y","","5Y2P5Lya5Lu76IGM"
