"表名","字段序号","字段名","标识","主键","类型","占用字节数","长度","小数位数","允许空","默认值","字段说明"
"WF_Portal_Biz_FavoriteProc","1","ID","v","v","int","4","10","0","","",""
"","2","ProcID","","","int","4","10","0","y","",""
"","3","UserAD","","","nvarchar","100","50","0","y","",""
"","4","CreateTime","","","datetime","8","23","3","y","",""
"","5","RecordStatus","","","int","4","10","0","y","",""
"WF_Portal_Cfg_HelpBar","1","ID","v","v","int","4","10","0","","",""
"","2","Name","","","nvarchar","200","100","0","y","",""
"","3","ImageURL","","","nvarchar","400","200","0","y","",""
"","4","URL","","","nvarchar","400","200","0","y","",""
"","5","OrderNum","","","int","4","10","0","y","",""
"","6","RecordStatus","","","int","4","10","0","y","",""
"WF_Portal_Biz_ProcDescValue","1","ID","v","v","int","4","10","0","","",""
"","2","ProcID","","","int","4","10","0","y","",""
"","3","Type","","","nvarchar","100","50","0","y","",""
"","4","Value","","","nvarchar","2000","1000","0","y","",""
"WF_Portal_Mng_BatchActivity","1","ID","v","v","int","4","10","0","","",""
"","2","Process","","","nvarchar","200","100","0","y","",""
"","3","Activity","","","nvarchar","200","100","0","y","",""
"","4","BatchURL","","","nvarchar","2000","1000","0","y","",""
"","5","RecordStatus","","","int","4","10","0","y","",""
"WF_Portal_Mng_ColumnsDefault","1","ID","v","v","int","4","10","0","","",""
"","2","Type","","","nvarchar","100","50","0","y","",""
"","3","Title","","","nvarchar","100","50","0","y","",""
"","4","TitleZH","","","nvarchar","100","50","0","y","",""
"","5","ValueType","","","nvarchar","100","50","0","y","",""
"","6","TextValue","","","nvarchar","2000","1000","0","y","",""
"","7","LinkUrlValue","","","nvarchar","2000","1000","0","y","",""
"","8","ImageUrlValue","","","nvarchar","2000","1000","0","y","",""
"","9","HtmlValue","","","nvarchar","2000","1000","0","y","",""
"","10","Width","","","nvarchar","100","50","0","y","",""
"","11","ColumnIndex","","","int","4","10","0","y","",""
"","12","RecordStatus","","","int","4","10","0","y","",""
"WF_Portal_Cfg_DescType","1","ID","v","v","int","4","10","0","","",""
"","2","DescObject","","","nvarchar","100","50","0","y","",""
"","3","Name","","","nvarchar","200","100","0","y","",""
"","4","Title","","","nvarchar","200","100","0","y","",""
"","5","Type","","","nvarchar","100","50","0","y","",""
"","6","RecordStatus","","","int","4","10","0","y","",""
"WF_Portal_Mng_Columns_New","1","ID","v","v","int","4","10","0","","",""
"","2","Type","","","nvarchar","100","50","0","y","",""
"","3","ProcessName","","","nvarchar","200","100","0","y","",""
"","4","Title","","","nvarchar","100","50","0","y","",""
"","5","TitleZH","","","nvarchar","100","50","0","y","",""
"","6","ValueType","","","nvarchar","100","50","0","y","",""
"","7","TextValue","","","nvarchar","2000","1000","0","y","",""
"","8","LinkUrlValue","","","nvarchar","2000","1000","0","y","",""
"","9","ImageUrlValue","","","nvarchar","2000","1000","0","y","",""
"","10","HtmlValue","","","nvarchar","2000","1000","0","y","",""
"","11","Width","","","nvarchar","100","50","0","y","",""
"","12","ColumnIndex","","","int","4","10","0","y","",""
"","13","RecordStatus","","","int","4","10","0","y","",""
"WF_Portal_Mng_PreviewColumns","1","ID","v","v","int","4","10","0","","",""
"","2","ProcID","","","int","4","10","0","y","",""
"","3","Text","","","nvarchar","200","100","0","y","",""
"","4","TextZH","","","nvarchar","200","100","0","y","",""
"","5","Value","","","nvarchar","4000","2000","0","y","",""
"","6","OrderNum","","","int","4","10","0","y","",""
"","7","RecordStatus","","","int","4","10","0","y","",""
"WF_Portal_Mng_SearchConditionDefault","1","ID","v","v","int","4","10","0","","",""
"","2","Text","","","nvarchar","200","100","0","y","",""
"","3","TextZH","","","nvarchar","200","100","0","y","",""
"","4","Property","","","nvarchar","200","100","0","y","",""
"","5","DataField","","","nvarchar","200","100","0","y","",""
"","6","SearchType","","","nvarchar","100","50","0","y","",""
"","7","OrderNum","","","int","4","10","0","y","",""
"","8","RecordStatus","","","int","4","10","0","y","",""
"WF_Portal_Mng_SearchCondition","1","ID","v","v","int","4","10","0","","",""
"","2","ProcessName","","","nvarchar","200","100","0","y","",""
"","3","Text","","","nvarchar","200","100","0","y","",""
"","4","TextZH","","","nvarchar","200","100","0","y","",""
"","5","Property","","","nvarchar","200","100","0","y","",""
"","6","DataField","","","nvarchar","200","100","0","y","",""
"","7","SearchType","","","nvarchar","100","50","0","y","",""
"","8","OrderNum","","","int","4","10","0","y","",""
"","9","RecordStatus","","","int","4","10","0","y","",""
"WF_Portal_Biz_Tools","1","ID","v","v","int","4","10","0","","",""
"","2","Name","","","nvarchar","100","50","0","y","",""
"","3","NameZH","","","nvarchar","100","50","0","y","",""
"","4","URL","","","nvarchar","200","100","0","y","",""
"","5","ImageURL","","","nvarchar","200","100","0","y","",""
"","6","Description","","","nvarchar","-1","-1","0","y","",""
"","7","DescriptionImage","","","nvarchar","200","100","0","y","",""
"","8","CreateTime","","","datetime","8","23","3","y","",""
"","9","RecordStatus","","","int","4","10","0","y","",""
"WF_Portal_Biz_ProcessTool","1","ID","v","v","int","4","10","0","","",""
"","2","ProcessID","","","int","4","10","0","y","",""
"","3","Name","","","nvarchar","200","100","0","y","",""
"","4","NameZH","","","nvarchar","200","100","0","y","",""
"","5","URL","","","nvarchar","300","150","0","y","",""
"","6","OrderNum","","","int","4","10","0","y","",""
"","7","RecordStatus","","","int","4","10","0","y","",""
"WF_Portal_Mng_Report","1","ID","v","v","int","4","10","0","","",""
"","2","ReportTypeID","","","int","4","10","0","y","",""
"","3","Name","","","nvarchar","200","100","0","y","",""
"","4","NameZH","","","nvarchar","200","100","0","y","",""
"","5","URL","","","nvarchar","400","200","0","y","",""
"","6","Image","","","nvarchar","200","100","0","y","",""
"","7","OrderNum","","","int","4","10","0","y","",""
"","8","RecordStatus","","","int","4","10","0","y","",""
"WF_Portal_Mng_ReportType","1","ID","v","v","int","4","10","0","","",""
"","2","Name","","","nvarchar","200","100","0","y","",""
"","3","NameZH","","","nvarchar","200","100","0","y","",""
"","4","Image","","","nvarchar","400","200","0","y","",""
"","5","OrderNum","","","int","4","10","0","y","",""
"","6","RecordStatus","","","int","4","10","0","y","",""
"WF_Portal_Mng_HelpDocument","1","ID","v","v","int","4","10","0","","",""
"","2","HelpLinkID","","","int","4","10","0","y","",""
"","3","Name","","","nvarchar","200","100","0","y","",""
"","4","NameZH","","","nvarchar","200","100","0","y","",""
"","5","URL","","","nvarchar","400","200","0","y","",""
"","6","OrderNum","","","int","4","10","0","y","",""
"","7","RecordStatus","","","int","4","10","0","y","",""
"WF_Portal_Mng_Rules","1","Id","v","v","int","4","10","0","","",""
"","2","Type","","","nvarchar","100","50","0","y","",""
"","3","ProcessName","","","nvarchar","400","200","0","y","",""
"","4","Logical","","","nvarchar","20","10","0","y","",""
"","5","DataField","","","varchar","50","50","0","y","",""
"","6","DataType","","","nvarchar","100","50","0","y","",""
"","7","Compare","","","nvarchar","40","20","0","y","",""
"","8","Value","","","nvarchar","400","200","0","y","",""
"WF_Portal_Mng_HelpLink","1","ID","v","v","int","4","10","0","","",""
"","2","Name","","","nvarchar","200","100","0","y","",""
"","3","NameZH","","","nvarchar","200","100","0","y","",""
"","4","Image","","","nvarchar","400","200","0","y","",""
"","5","BottomText","","","nvarchar","1000","500","0","y","",""
"","6","OrderNum","","","int","4","10","0","y","",""
"","7","RecordStatus","","","int","4","10","0","y","",""
"WF_Portal_Mng_MobileUrl","1","ID","v","v","int","4","10","0","","",""
"","2","ProcessFullName","","","nvarchar","2000","1000","0","y","",""
"","4","ActivityName","","","nvarchar","400","200","0","y","",""
"","5","MobileURL","","","nvarchar","2000","1000","0","y","",""
"","6","MobileSSLURL","","","nvarchar","2000","1000","0","y","",""
"","7","RecordStatus","","","int","4","10","0","y","",""
"WF_Portal_Mng_PriorityDays","1","ID","v","v","int","4","10","0","","",""
"","2","ProcessName","","","nvarchar","100","50","0","y","",""
"","3","UrgencyDays","","","int","4","10","0","y","",""
"","4","WarningDays","","","int","4","10","0","y","",""
"WF_Portal_Biz_Processes","1","ID","v","v","int","4","10","0","","",""
"","2","Process","","","nvarchar","400","200","0","y","",""
"","3","Name","","","nvarchar","200","100","0","y","",""
"","4","NameZH","","","nvarchar","200","100","0","y","",""
"","5","URL","","","nvarchar","300","150","0","y","",""
"","6","ImageURL","","","nvarchar","200","100","0","y","",""
"","7","SQL","","","nvarchar","4000","2000","0","y","",""
"","8","DBConnectionString","","","nvarchar","400","200","0","y","",""
"","9","WorkflowTemplate","","","nvarchar","200","100","0","y","",""
"","10","CreateTime","","","datetime","8","23","3","y","(getdate())",""
"","11","PageSize","","","int","4","10","0","y","",""
"","12","OrderNum","","","int","4","10","0","y","",""
"","13","RecordStatus","","","int","4","10","0","y","",""
"","14","IsDefaultFavorite","","","bit","1","1","0","y","",""
"","15","WebServerNameURL","","","nvarchar","-1","-1","0","y","",""
"WF_Portal_Mng_DraftActivity","1","ID","v","v","int","4","10","0","","",""
"","2","ProcessName","","","nvarchar","200","100","0","y","",""
"","3","ActivityName","","","nvarchar","100","50","0","y","",""
"WF_Portal_Cfg_ClickerCount","1","ID","","v","int","4","10","0","","",""
"","2","Count","","","int","4","10","0","y","",""
"WF_Portal_Mng_Columns","1","ID","v","","int","4","10","0","","",""
"","2","Type","","","nvarchar","100","50","0","y","",""
"","3","ProcessName","","","nvarchar","200","100","0","y","",""
"","4","Title","","","nvarchar","100","50","0","y","",""
"","5","TitleZH","","","nvarchar","100","50","0","y","",""
"","6","FieldValue","","","nvarchar","100","50","0","y","",""
"","7","ValueType","","","nvarchar","100","50","0","y","",""
"","8","TextValue","","","nvarchar","2000","1000","0","y","",""
"","9","LinkUrlValue","","","nvarchar","2000","1000","0","y","",""
"","10","ImageUrlValue","","","nvarchar","2000","1000","0","y","",""
"","11","HtmlValue","","","nvarchar","2000","1000","0","y","",""
"","12","Width","","","nvarchar","100","50","0","y","",""
"","13","ColumnIndex","","","int","4","10","0","y","",""
"","14","RecordStatus","","","int","4","10","0","y","",""
"WF_Portal_Ref_ProcessAndType","1","ID","v","v","int","4","10","0","","",""
"","2","ProcessID","","","int","4","10","0","y","",""
"","3","ProcessTypeID","","","int","4","10","0","y","",""
"WF_Portal_Biz_ProcessType","1","ID","v","v","int","4","10","0","","",""
"","2","Name","","","nvarchar","400","200","0","y","",""
