"表名","字段序号","字段名","标识","主键","类型","占用字节数","长度","小数位数","允许空","默认值","字段说明"
"RAP_TE_CostCenterCodeApprover","1","ID","√","√","int","4","10","0","","",""
"","2","CostCenterCode","","","nvarchar","100","50","0","y","",""
"","3","ProjectCode","","","nvarchar","100","50","0","y","",""
"","4","ApproveAD","","","nvarchar","100","50","0","y","",""
"","5","RecordStatus","","","int","4","10","0","y","",""
"RAP_TE_DD_CostCenter","1","Id","√","√","int","4","10","0","","",""
"","2","Code","","","nvarchar","100","50","0","y","",""
"","3","Ename","","","nvarchar","510","255","0","y","",""
"","4","LocalName","","","nvarchar","510","255","0","y","",""
"","5","TopCode","","","nvarchar","510","255","0","y","",""
"","6","CountryCode","","","varchar","20","20","0","y","","VGhlIGNvZGUgb2YgY291bnRyeQ=="
"","7","OrdNum","","","int","4","10","0","y","","VGhlIG9yZGVyIG51bWJlcg=="
"","8","RecordCreationTime","","","datetime","8","23","3","y","(getdate())","VGhlIHRpbWUgb2YgY3JlYXRlZCB0aGlzIHJlY29yZA=="
"","9","LastUpdateTime","","","datetime","8","23","3","y","","TGFzdCB1cGRhdGUgdGltZQ=="
"","10","RecordStatus","","","varchar","10","10","0","y","","VGhlIHN0YXR1cyBvZiB0aGlzIHJlY29yZC4gMCAtIGRpc2FibGUgMS0gZW5hYmxlIDIgLSBkZWxldGVk"
"","11","CompanyName","","","nvarchar","100","50","0","y","",""
"","12","CompanyCode","","","nvarchar","100","50","0","y","",""
"RAP_TE_DD_InternalOrder","1","ID","√","√","int","4","10","0","","",""
"","2","Code","","","nvarchar","100","50","0","y","",""
"","3","RecordCreationTime","","","datetime","8","23","3","y","(getdate())",""
"","4","Description","","","nvarchar","510","255","0","y","",""
"","5","LastUpdateTime","","","datetime","8","23","3","y","(getdate())",""
"","6","RecordStatus","","","int","4","10","0","y","('1')",""
"","7","CompanyName","","","nvarchar","100","50","0","y","",""
"","8","CompanyCode","","","nvarchar","100","50","0","y","",""
"","9","InternalOrderType","","","nvarchar","100","50","0","y","",""
"RAP_TE_CostCenterProduct","1","ID","√","√","int","4","10","0","","",""
"","2","CostCenterCode","","","nvarchar","100","50","0","y","",""
"","3","ProductCode","","","nvarchar","100","50","0","y","",""
"","4","ReocrdStatus","","","int","4","10","0","y","",""
"Takeda_VR_Branch","1","ID","√","√","int","4","10","0","","",""
"","2","VR_Branch","","","nvarchar","400","200","0","","",""
"","3","Status","","","char","1","1","0","","",""
"","4","Discription","","","nvarchar","100","50","0","y","",""
"","5","CountryCode","","","varchar","20","20","0","y","","VGhlIGNvZGUgb2YgY291bnRyeQ=="
"Takeda_VR_Department","1","ID","√","√","int","4","10","0","","",""
"","2","VR_DivisionID","","","int","4","10","0","","",""
"","3","VR_Department","","","varchar","200","200","0","","",""
"","4","CountryCode","","","varchar","20","20","0","y","","VGhlIGNvZGUgb2YgY291bnRyeQ=="
"","5","RecordStatus","","","char","1","1","0","y","",""
"","6","Status","","","varchar","20","20","0","y","",""
"Takeda_VR_Level","1","ID","√","√","int","4","10","0","","",""
"","2","ProcName","","","nvarchar","100","50","0","y","",""
"","3","VRCode","","","nvarchar","100","50","0","y","",""
"","4","VRLevel","","","int","4","10","0","y","",""
"","5","CountryCode","","","varchar","20","20","0","y","","VGhlIGNvZGUgb2YgY291bnRyeQ=="
"Takeda_VR_Sub_Department","1","ID","√","√","int","4","10","0","","",""
"","2","VR_DepartmentID","","","int","4","10","0","","",""
"","3","VR_Sub_Department","","","nvarchar","400","200","0","","",""
"","4","Status","","","char","1","1","0","","",""
"","5","CountryCode","","","varchar","20","20","0","y","","VGhlIGNvZGUgb2YgY291bnRyeQ=="
"Takeda_VR_Title","1","Id","√","√","int","4","10","0","","",""
"","2","Code","","","varchar","100","100","0","y","","VGhlIGNvZGUgb2YgVlIgdGl0bGU="
"","3","Value","","","nvarchar","510","255","0","y","","VGhlIHZhbHVlIG9mIHRpdGxl"
"","4","Description","","","ntext","16","1073741823","0","y","","VGhlIGRlc2NyaXB0aW9u"
"","5","CountryCode","","","varchar","20","20","0","y","","VGhlIGNvZGUgb2YgY291bnRyeQ=="
"Upload","1","I1","","","nvarchar","100","50","0","y","",""
"","2","I2","","","nvarchar","100","50","0","y","",""
"","3","I3","","","nvarchar","100","50","0","y","",""
"","4","I4","","","nvarchar","100","50","0","y","",""
"","5","I5","","","nvarchar","100","50","0","y","",""
"","6","I6","","","nvarchar","100","50","0","y","",""
"","7","I7","","","nvarchar","100","50","0","y","",""
"","8","I8","","","nvarchar","100","50","0","y","",""
"","9","I9","","","nvarchar","100","50","0","y","",""
