"表名","字段序号","字段名","标识","主键","类型","占用字节数","长度","小数位数","允许空","默认值","字段说明"
"Takeda_Biz_Comment","1","ID","√","√","int","4","10","0","","",""
"","2","RelateId","","","int","4","10","0","y","",""
"","3","EMSGuid","","","nvarchar","100","50","0","y","",""
"","4","ActivityId","","","int","4","10","0","y","",""
"","5","ActivityName","","","nvarchar","100","50","0","y","",""
"","6","OperatorAD","","","nvarchar","100","50","0","y","",""
"","7","OperatorName","","","nvarchar","100","50","0","y","",""
"","8","Dept","","","nvarchar","100","50","0","y","",""
"","9","CommentContent","","","nvarchar","400","200","0","y","",""
"","10","AppTime","","","datetime","8","23","3","y","",""
"","11","ApprovalStaus","","","nvarchar","100","50","0","y","",""
"","12","PaymentNo","","","nvarchar","100","50","0","y","",""
"","13","PONoType","","","nvarchar","100","50","0","y","",""
"","14","IsDelegated","","","int","4","10","0","y","","5piv5ZCm5Luj55CGIDEu5pivIDAu5ZCm"
"","15","DelegatedAD","","","nvarchar","100","50","0","y","","5Luj55CG5a6h5om55Lq66LSm5Y+3"
"","16","DelegatedUserName","","","nvarchar","100","50","0","y","","5Luj55CG5a6h5om55Lq65aeT5ZCN"
"EMS_Mng_IsPaymentOverTime","1","ID","√","√","int","4","10","0","","",""
"","2","EMSGuid","","","nvarchar","100","50","0","y","",""
"","3","Folio","","","nvarchar","100","50","0","y","",""
"","4","UserAD","","","nvarchar","100","50","0","y","",""
"","5","IsPaymentOvertime","","","nvarchar","100","50","0","y","",""
"","6","Item1","","","nvarchar","100","50","0","y","",""
"","7","Item2","","","nvarchar","100","50","0","y","",""
"","8","Item3","","","nvarchar","100","50","0","y","",""
"","9","StratDate","","","nvarchar","100","50","0","y","",""
"","10","EndDate","","","nvarchar","100","50","0","y","",""
"EMS_Mng_Product_ProjectInfo","1","ID","√","√","int","4","10","0","","",""
"","2","Type","","","nvarchar","100","50","0","y","",""
"","3","Code","","","nvarchar","100","50","0","y","",""
"","4","Name","","","nvarchar","400","200","0","y","",""
"","5","Status","","","int","4","10","0","y","",""
"EMS_Cfg_Step","1","id","√","√","int","4","10","0","","",""
"","2","StepName","","","nvarchar","100","50","0","y","","5q2l6aqk5ZCN56ew"
"","3","StepCode","","","nvarchar","100","50","0","y","","5q2l6aqk5ZCN56ewQ09ERQ=="
"","4","Amount","","","nvarchar","100","50","0","y","","6YeR6aKdKOinhOWImSk="
"","5","IsHCP","","","int","4","10","0","y","","5piv5ZCm6ZuG6YeHKOinhOWImSk="
"","6","IsIntegratePurchase","","","int","4","10","0","y","",""
"","7","RecordStatus","","","int","4","10","0","y","","54q25oCBIDAu5pyq5ZCv55SoIDEu5ZCv55So"
"EMS_Mng_CostCatgory_Depart","1","ID","√","√","int","4","10","0","","",""
"","2","ParentID","","","int","4","10","0","y","",""
"","3","Type","","","nvarchar","100","50","0","y","",""
"","4","CostCode","","","nvarchar","100","50","0","y","",""
"","5","CostName","","","nvarchar","100","50","0","y","",""
"","6","Code","","","nvarchar","100","50","0","y","",""
"","7","Name","","","nvarchar","100","50","0","y","",""
"","8","IsCentralPurchase","","","int","4","10","0","y","",""
"","9","Proportion","","","nvarchar","100","50","0","y","",""
"","10","Status","","","int","4","10","0","y","",""
"","11","DepartFlag","","","nvarchar","100","50","0","y","",""
"Log_EventCancel","1","ID","√","√","int","4","10","0","","",""
"","2","EMSGuid","","","nvarchar","100","50","0","y","",""
"","3","EMSFolio","","","nvarchar","100","50","0","y","",""
"","4","TypeNo","","","nvarchar","100","50","0","y","",""
"","5","Amount","","","nvarchar","400","200","0","y","",""
"","6","IsCancelEvent","","","int","4","10","0","y","",""
"","7","Operator","","","nvarchar","100","50","0","y","",""
"","8","Date","","","datetime","8","23","3","y","",""
"","9","Status","","","int","4","10","0","y","",""
"","10","Item1","","","nvarchar","400","200","0","y","",""
"","11","Item2","","","nvarchar","400","200","0","y","",""
"","12","Item3","","","nvarchar","400","200","0","y","",""
